"Дата" "Нетна стойност"
2023.04.19 97.9424
2023.04.20 96.3833
2023.04.21 94.5763
2023.04.24 96.2034
2023.04.25 93.4212
2023.04.26 91.8810
2023.04.27 92.6705
2023.04.28 94.1631
2023.05.02 90.9760
2023.05.03 90.4335
2023.05.04 90.6055
2023.05.05 93.9846
2023.05.09 95.1303
2023.05.10 93.7690
2023.05.11 91.1656
2023.05.12 91.2077
2023.05.15 91.6989
2023.05.16 89.7583
2023.05.17 90.5580
2023.05.18 90.8809
2023.05.19 91.6402
2023.05.22 92.4432
2023.05.23 91.9850
2023.05.25 88.5604
2023.05.26 88.6562
2023.05.30 86.9528
2023.05.31 85.1120
2023.06.01 87.7706
2023.06.02 91.0507
2023.06.05 90.3244
2023.06.06 91.1931
2023.06.07 92.1797
2023.06.08 92.0745
2023.06.09 91.1034
2023.06.12 88.8877
2023.06.13 90.0897
2023.06.14 89.8747
2023.06.15 90.8183
2023.06.16 91.1957
2023.06.19 91.0310
2023.06.20 89.8253
2023.06.21 90.8688
2023.06.22 89.3757
2023.06.23 90.5325
2023.06.26 89.0632
2023.06.27 89.1795
2023.06.28 88.7583
2023.06.29 90.5938
2023.06.30 92.3729
2023.07.03 93.1335
2023.07.04 94.0104
2023.07.05 93.2838
2023.07.06 91.3238
2023.07.07 94.6633
2023.07.10 95.7836
2023.07.11 97.0756
2023.07.12 98.5519
2023.07.13 99.1631
2023.07.14 97.5796
2023.07.17 97.2360
2023.07.18 99.8989
2023.07.19 99.7819
2023.07.20 99.9040
2023.07.21 99.2162
2023.07.24 100.1639
2023.07.25 101.5721
2023.07.26 101.7275
2023.07.27 99.5130
2023.07.28 101.5280
2023.07.31 103.5446
2023.08.01 101.4480
2023.08.02 99.3551
2023.08.03 100.5741
2023.08.04 101.3816
2023.08.07 101.0477
2023.08.08 100.8037
2023.08.09 101.9536
2023.08.10 101.4669
2023.08.11 102.2755
2023.08.14 101.1755
2023.08.15 99.0292
2023.08.16 98.4661
2023.08.17 98.2055
2023.08.18 98.2006
2023.08.21 99.0423
2023.08.22 98.5657
2023.08.23 98.6780
2023.08.25 96.9256
2023.08.28 97.8459
2023.08.29 99.2835
2023.08.30 99.9524
2023.08.31 99.7580
2023.09.01 102.3253
2023.09.04 102.3064
2023.09.05 101.3778
2023.09.07 99.7402
2023.09.08 100.5746
2023.09.11 100.7394
2023.09.12 102.6779
2023.09.13 101.6004
2023.09.14 103.9795
2023.09.15 103.9614
2023.09.18 104.3220
2023.09.19 102.3943
2023.09.20 101.8441
2023.09.25 101.3923
2023.09.26 100.3367
2023.09.27 102.5799
2023.09.28 103.5646
2023.09.29 102.6191
2023.10.02 98.7292
2023.10.03 98.0098
2023.10.04 94.8512
2023.10.05 95.4232
2023.10.06 96.8586
2023.10.09 99.4718
2023.10.10 100.7075
2023.10.11 100.6790
2023.10.12 99.9046
2023.10.13 101.6973
2023.10.16 101.5357
2023.10.17 103.9415
2023.10.18 103.6685
2023.10.19 102.8409
2023.10.20 101.0665
2023.10.23 99.6944
2023.10.24 99.9416
2023.10.25 98.9106
2023.10.26 97.9077
2023.10.27 98.6914
2023.10.30 97.8145
2023.10.31 97.2833
2023.11.01 97.7135
2023.11.02 99.5901
2023.11.03 100.1566
2023.11.06 98.3788
2023.11.07 94.3955
2023.11.08 92.6339
2023.11.09 93.8253
2023.11.10 94.6452
2023.11.13 95.0709
2023.11.14 96.9841
2023.11.15 96.7270
2023.11.16 94.2821
2023.11.17 95.9056
2023.11.20 96.7453
2023.11.21 96.5096
2023.11.22 96.1271
2023.11.23 96.1951
2023.11.24 97.4270
2023.11.27 96.9323
2023.11.28 97.1585
2023.11.29 96.9687
2023.11.30 97.8392
2023.12.01 99.3625
2023.12.04 97.8336
2023.12.05 96.0825
2023.12.06 93.6766
2023.12.07 93.4834
2023.12.08 94.6563
2023.12.11 93.5494
2023.12.12 91.3989
2023.12.13 94.2956
2023.12.14 97.2650
2023.12.15 96.8950
2023.12.18 97.6663
2023.12.19 99.3438
2023.12.20 98.0157
2023.12.21 99.2382
2023.12.22 99.7298
2023.12.28 99.3272
2023.12.29 98.5922
2024.01.02 97.7863
